DVM,RA_RELATIONSHIP_TYPE,
EBS_VALUE,FUSION_VALUE
ADDRESS,ADDRESS
ADDRESS_ON,ADDRESS_ON
ADVISEE_OF,ADVISEE_OF
ADVISOR_OF,ADVISOR_OF
AFFILIATE,AFFILIATE
AFFILIATE_TO,AFFILIATE_TO
ALT_NAME,ALT_NAME
APPROVED_NAME,APPROVED_NAME
BUSINESS,BUSINESS
CARE,CARE
CARED_BY,CARED_BY
CARER_OF,CARER_OF
CARE_HOME_FOR,CARE_HOME_FOR
CHILD_OF,CHILD_OF
CONTACT,CONTACT
CONTACT_OF,CONTACT_OF
CONTAINS_ADDRESS,CONTAINS_ADDRESS
COUNSELEE_OF,COUNSELEE_OF
COUNSELOR_OF,COUNSELOR_OF
CUSTOMER/SELLER,CUSTOMER/SELLER
CUSTOMER_INDIRECTLY_MANAGED_BY,CUSTOMER_INDIRECTLY_MANAGED_BY
CUSTOMER_OF,CUSTOMER_OF
EMPLOYEE_OF,EMPLOYEE_OF
EMPLOYER_OF,EMPLOYER_OF
EMPLOYMENT,EMPLOYMENT
HOME_FOR,HOME_FOR
INDIRECTLY_MANAGES_CUSTOMER,INDIRECTLY_MANAGES_CUSTOMER
LANDLORD_OF,LANDLORD_OF
LANDLORD_TENANT,LANDLORD_TENANT
LEGAL_CONTACT,LEGAL_CONTACT
LIVES_AT,LIVES_AT
LOCATED_AT,LOCATED_AT
LOCATION_FOR,LOCATION_FOR
LOOK_AFTER_AT,LOOK_AFTER_AT
NEXT_OF_KIN,NEXT_OF_KIN
NEXT_OF_KIN_FOR,NEXT_OF_KIN_FOR
NEXT_OF_KIN_OF,NEXT_OF_KIN_OF
PARENT/CHILD,PARENT/CHILD
PARENT_OF,PARENT_OF
PARTNER_MANAGED_CUSTOMER,PARTNER_MANAGED_CUSTOMER
PARTNER_OF,PARTNER_OF
POM_LEGAL_CONTACT,POM_LEGAL_CONTACT
POM_LEGAL_CONTACT_FOR,POM_LEGAL_CONTACT_FOR
POM_THIRDPARTY_AUTHOR,POM_THIRDPARTY_AUTHOR
POM_THIRDPARTY_AUTHOR_FOR,POM_THIRDPARTY_AUTHOR_FOR
POS_EMPLOYMENT,POS_EMPLOYMENT
PROPERTY_NAME,PROPERTY_NAME
RELATIVE,RELATIVE
RELATIVE_OF,RELATIVE_OF
SELLER_TO,SELLER_TO
SIBLING,SIBLING
SIBLING_OF,SIBLING_OF
STUDENT_ADVISING,STUDENT_ADVISING
STUDENT_COUNSELING,STUDENT_COUNSELING
TEMPORARY_CONTACT,TEMPORARY_CONTACT
TEMPORARY_CONTACT_OF,TEMPORARY_CONTACT_OF
TENANT_OF,TENANT_OF
THIRD_PARTY_AUTHOR,THIRD_PARTY_AUTHOR
WORKS_FOR,WORKS_FOR
